track_name,total_streams_while_in_Top_200 (millions),T10,Pk,(x?),PkStreams,Total,artist,title
Ed Sheeran - Perfect,445,15.0,4,,24763619,3623472607,Ed Sheeran,Perfect
Imagine Dragons - Believer,425,,16,,16864827,3353483545,Imagine Dragons,Believer
Ed Sheeran - Shape of You,412,34.0,1,(x14),64217796,4338426724,Ed Sheeran,Shape of You
OneRepublic - Counting Stars,412,24.0,3,(x5),11170130,2617021035,OneRepublic,Counting Stars
Vance Joy - Riptide,403,,16,,16836644,2813812435,Vance Joy,Riptide
Billie Eilish - lovely,400,,24,,14081242,3514154790,Billie Eilish,lovely
James Arthur - Say You Won't Let Go,352,15.0,7,,19297939,2581216939,James Arthur,Say You Won't Let Go
Lewis Capaldi - Someone You Loved,343,15.0,4,,24962682,3933581891,Lewis Capaldi,Someone You Loved
The Weeknd - Blinding Lights,335,64.0,1,(x13),52375259,5321662134,The Weeknd,Blinding Lights
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,335,31.0,1,(x2),34579416,3691832349,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Ed Sheeran - Photograph,332,,15,,11386170,1885939922,Ed Sheeran,Photograph
Hozier - Take Me To Church,326,20.0,1,(x5),13212580,2192969374,Hozier,Take Me To Church
The Neighbourhood - Sweater Weather,321,,16,,21624450,3955769627,The Neighbourhood,Sweater Weather
Drake - One Dance,313,26.0,1,(x14),47782311,3245348761,Drake,One Dance
John Legend - All of Me,310,15.0,3,(x2),8733114,1278923495,John Legend,All of Me
The Weeknd - Starboy,305,21.0,1,(x6),35360281,3708106643,The Weeknd,Starboy
The Chainsmokers - Something Just Like This,299,12.0,2,(x2),33173199,2565319077,The Chainsmokers,Something Just Like This
Travis Scott - goosebumps,280,,13,,22652793,1930715182,Travis Scott,goosebumps
Coldplay - Yellow,280,,19,,19818571,2996823016,Coldplay,Yellow
The Chainsmokers - Closer,262,28.0,1,(x11),46300740,2335489305,The Chainsmokers,Closer
Tom Odell - Another Love,262,,15,,20219891,3081997803,Tom Odell,Another Love
Imagine Dragons - Demons,244,6.0,8,,11240856,1232145944,Imagine Dragons,Demons
Eminem - Without Me,243,,31,,14105930,2118905098,Eminem,Without Me
Ed Sheeran - Thinking out Loud,241,22.0,1,(x2),12966533,1256739061,Ed Sheeran,Thinking out Loud
The Killers - Mr. Brightside,238,,44,,14737167,1660265474,The Killers,Mr. Brightside
Eminem - Lose Yourself,237,,44,,10904034,948912403,Eminem,Lose Yourself
Arctic Monkeys - Do I Wanna Know?,234,,38,,9519123,1250364942,Arctic Monkeys,Do I Wanna Know?
Bruno Mars - Locked out of Heaven,232,,18,,19098304,2105547970,Bruno Mars,Locked out of Heaven
The Police - Every Breath You Take,229,2.0,8,,25306108,2374039622,The Police,Every Breath You Take
J. Cole - No Role Modelz,227,,64,,11091492,1369389336,J. Cole,No Role Modelz
Arctic Monkeys - 505,225,,43,,13120065,2311160336,Arctic Monkeys,505
Harry Styles - Watermelon Sugar,225,18.0,4,,28265526,2600844950,Harry Styles,Watermelon Sugar
Queen - Bohemian Rhapsody - Remastered 2011,224,,11,,18440196,1484719835,Queen,Bohemian Rhapsody - Remastered 2011
Bruno Mars - When I Was Your Man,219,,38,,15866628,1758171178,Bruno Mars,When I Was Your Man
XXXTENTACION - Jocelyn Flores,217,2.0,7,,25442646,1511632218,XXXTENTACION,Jocelyn Flores
Avicii - Wake Me Up,216,13.0,3,(x2),20549219,1035548559,Avicii,Wake Me Up
The Weeknd - Die For You,215,,12,,22988828,2554670039,The Weeknd,Die For You
Harry Styles - As It Was,206,60.0,1,(x11),78460903,4271070367,Harry Styles,As It Was
Juice WRLD - Lucid Dreams,204,15.0,3,(x1),27389019,1911008149,Juice WRLD,Lucid Dreams
Arctic Monkeys - I Wanna Be Yours,199,,15,,21021481,3215531710,Arctic Monkeys,I Wanna Be Yours
Cigarettes After Sex - Apocalypse,196,,53,,13385982,1940911985,Cigarettes After Sex,Apocalypse
Coldplay - Viva La Vida,196,,31,,18240182,2149698713,Coldplay,Viva La Vida
Glass Animals - Heat Waves,194,37.0,1,(x10),31668100,3002545699,Glass Animals,Heat Waves
The Weeknd - The Hills,189,11.0,3,(x1),14363491,1225278679,The Weeknd,The Hills
Bruno Mars - That's What I Like,188,9.0,6,,23602385,1907547647,Bruno Mars,That's What I Like
One Direction - Night Changes,185,1.0,8,,32106780,1590519143,One Direction,Night Changes
Lord Huron - The Night We Met,184,,15,,21456993,2463774201,Lord Huron,The Night We Met
Lady Gaga - Shallow,182,12.0,3,(x2),31597226,1738805577,Lady Gaga,Shallow
Macklemore & Ryan Lewis - Can't Hold Us,181,,86,,11440256,1596805732,Macklemore & Ryan Lewis,Can't Hold Us
Bruno Mars - Just the Way You Are,179,,34,,17397565,1748070078,Bruno Mars,Just the Way You Are
Keane - Somewhere Only We Know,179,,71,,11772825,1687968805,Keane,Somewhere Only We Know
The Kid LAROI - Stay,178,43.0,1,(x12),70502410,3308282556,The Kid LAROI,Stay
Passenger - Let Her Go,177,,13,,4815894,475972877,Passenger,Let Her Go
The Walters - I Love You So,177,,21,,14526745,1733687424,The Walters,I Love You So
Ruth B. - Dandelions,173,,34,,11383604,1653359488,Ruth B.,Dandelions
Post Malone - rockstar,172,27.0,1,(x17),46995997,2072812831,Post Malone,rockstar
Post Malone - Circles,171,18.0,1,(x1),43379405,1905867050,Post Malone,Circles
The Weeknd - Save Your Tears,171,13.0,2,(x4),30115082,1775255281,The Weeknd,Save Your Tears
Coldplay - A Sky Full of Stars,171,12.0,6,,12455072,897506961,Coldplay,A Sky Full of Stars
Lana Del Rey - Summertime Sadness,166,,83,,10683039,1496674468,Lana Del Rey,Summertime Sadness
Dua Lipa - Don't Start Now,164,33.0,2,(x1),37779776,2095527045,Dua Lipa,Don't Start Now
XXXTENTACION - SAD!,163,12.0,1,(x2),38010231,1531066913,XXXTENTACION,SAD!
Lauv - I Like Me Better,163,,29,,12704967,1030373108,Lauv,I Like Me Better
"Tyler, The Creator - See You Again",159,,16,,20536166,2077859164,"Tyler, The Creator",See You Again
Conan Gray - Heather,159,,12,,18431861,1308582983,Conan Gray,Heather
Imagine Dragons - Radioactive,158,,15,,3353347,374359494,Imagine Dragons,Radioactive
Tears For Fears - Everybody Wants To Rule The World,152,,51,,13103210,1343411524,Tears For Fears,Everybody Wants To Rule The World
Tones And I - Dance Monkey,151,41.0,1,(x17),52055226,2538070349,Tones And I,Dance Monkey
Kendrick Lamar - All The Stars,150,10.0,2,(x2),44478255,1912557101,Kendrick Lamar,All The Stars
Fleetwood Mac - Dreams - 2004 Remaster,149,,20,,15475652,1347832374,Fleetwood Mac,Dreams - 2004 Remaster
J Balvin - LA CANCIÃN,148,,11,,28210002,1361566110,J Balvin,LA CANCIÃN
Travis Scott - SICKO MODE,147,21.0,2,(x1),33399542,1423300401,Travis Scott,SICKO MODE
Macklemore & Ryan Lewis - Can't Hold Us,147,,14,,5280049,339327547,Macklemore & Ryan Lewis,Can't Hold Us
Jung Kook - Seven,146,22.0,1,(x9),89748171,2703773945,Jung Kook,Seven
Shawn Mendes - SeÃ±orita,146,23.0,1,(x14),67237638,2072961200,Shawn Mendes,SeÃ±orita
Sam Smith - Stay With Me,146,26.0,2,(x4),8537137,585430499,Sam Smith,Stay With Me
Elton John - Cold Heart - PNAU Remix,145,28.0,4,,28043005,1974787398,Elton John,Cold Heart - PNAU Remix
Taylor Swift - Cruel Summer,144,37.0,2,(x3),35517192,2694363550,Taylor Swift,Cruel Summer
