Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),8,1,(x2),57576989,-9051405.0,201682836
2,+1,BTS - SWIM,6,1,(x4),42345358,-3668805.0,338002191
3,+1,Dominic Fike - Babydoll,24,1,(x1),39457419,-2929776.0,508052025
4,-2,Olivia Rodrigo - drop dead,2,2,(x1),33785384,-15028429.0,82599197
5,+60,Michael Jackson - Billie Jean,49,5,,28509709,13979950.0,517414587
6,-1,Justin Bieber - DAISIES,42,2,(x1),28188949,-5843351.0,724092675
7,=,Bruno Mars - Risk It All,9,3,(x4),26361188,-2431593.0,277386365
8,=,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),11,8,,25033403,-2657917.0,195586444
9,+1,sombr - back to friends,58,1,(x1),24630330,-2244987.0,1740978666
10,+1,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),16,2,(x3),24220945,-2415577.0,401288945
11,+5,Olivia Dean - Man I Need,36,3,(x5),24215529,-562955.0,1038705810
12,+1,Djo - End of Beginning,115,1,(x5),24139158,-1440376.0,2474886920
13,+4,Dave - Raindance (w/ Tems),22,6,,23300226,-1134285.0,461769716
14,+4,Taylor Swift - The Fate of Ophelia,30,1,(x12),22215368,-791654.0,1295513319
15,+117,Michael Jackson - Beat It,4,15,,22149218,11699253.0,49605260
16,+4,Olivia Dean - So Easy (To Fall In Love),31,6,,21733428,-905778.0,745228526
17,-11,Justin Bieber - Baby (w/ Ludacris),3,6,,21632324,-9515176.0,73838969
18,+1,Bad Bunny - DtMF,69,1,(x7),21511351,-1189559.0,1799294458
19,-10,Justin Bieber - Confident - Single Version (w/ Chance the Rapper),29,9,,20939524,-6281056.0,293752579
20,NEW,Noah Kahan - Doors,1,20,,20778522,,20778522
21,+5,Alex Warren - Ordinary,64,1,(x7),19977935,-128444.0,1821442339
22,-1,RAYE - WHERE IS MY HUSBAND!,32,6,,19526262,-1744785.0,741312446
23,+6,Ella Langley - Choosin' Texas,17,23,,19395637,199732.0,247204320
24,+7,Ravyn Lenae - Love Me Not,58,8,,19382297,303564.0,1026084138
25,+3,The Goo Goo Dolls - Iris,139,12,,19322949,58511.0,1976241361
26,-4,Zara Larsson - Lush Life,117,7,,19260458,-1546403.0,1038409017
27,-2,Bella Kay - iloveitiloveitiloveit,10,15,,18434355,-1832827.0,197429698
28,-16,Justin Bieber - Sorry,111,1,(x8),18302545,-7567202.0,1167627790
29,+8,Lady Gaga - Die With A Smile (w/ Bruno Mars),89,1,(x30),18267921,313841.0,3588703006
30,+3,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",45,1,(x11),18143237,-675414.0,1638407044
31,-7,BTS - Body to Body,6,2,(x1),17927246,-2425854.0,171996781
32,+16,Malcolm Todd - Earrings,5,32,,17649049,1333859.0,69503387
33,+1,Dominic Fike - White Keys,10,30,,17610194,-1187454.0,161757793
34,-4,Bruno Mars - I Just Might,16,3,(x1),17572845,-1512793.0,362638543
35,-8,BTS - 2.0,6,9,,17404537,-2198828.0,142672389
36,-13,Sabrina Carpenter - Manchild,47,1,(x1),17385151,-3162555.0,899995834
37,+4,Billie Eilish - BIRDS OF A FEATHER,102,1,(x3),17363330,-169328.0,3632118427
38,-6,BTS - Hooligan,6,4,,17040268,-2009614.0,147966266
39,-1,Bad Bunny - BAILE INoLVIDABLE,69,2,(x3),17034542,-677268.0,1465022951
40,+19,Katy Perry - The One That Got Away,6,40,,16718471,1571041.0,77351755
41,-27,Sean Kingston - Eenie Meenie (w/ Justin Bieber),4,14,,16668128,-8749855.0,70195919
42,-27,Justin Bieber - Love Yourself,126,1,(x3),16549624,-8526593.0,1141316734
43,-3,Bad Bunny - NUEVAYoL,69,3,(x2),16278175,-1282121.0,1226447566
44,+12,Gigi Perez - Sailor Song,89,7,,15931616,263224.0,1818472015
45,-6,sombr - Homewrecker,12,21,,15910721,-1697067.0,199553781
46,-3,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),15,36,,15817474,-1642204.0,203803976
47,-2,The Neighbourhood - Sweater Weather,321,16,,15801951,-1461645.0,3955769627
48,NEW,Noah Kahan - End of August,1,48,,15678332,,15678332
49,RE,Noah Kahan - The Great Divide,5,16,,15385065,,71102327
50,NEW,Noah Kahan - American Cars,1,50,,14852290,,14852290
51,+7,The Police - Every Breath You Take,229,8,,14793193,-495205.0,2374039622
52,NEW,Noah Kahan - Dashboard,1,52,,14745137,,14745137
53,-18,DJ Snake - Let Me Love You (w/ Justin Bieber),123,2,(x1),14737310,-3890048.0,1424901292
54,+15,The Killers - Mr. Brightside,238,44,,14737167,457419.0,1660265474
55,+9,"Drake - One Dance (w/ Wizkid, Kyla)",313,1,(x14),14492214,-91683.0,3245348761
56,-3,Bruno Mars - Locked out of Heaven,232,18,,14466471,-1393711.0,2105547970
57,+10,Tame Impala - Dracula,25,35,,14228339,-224619.0,300210876
58,NEW,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,1,58,,14224618,,14224618
59,-4,Banjaare - Bairan,8,35,,14179776,-1612773.0,121643594
60,-24,The Kid LAROI - Stay (w/ Justin Bieber),178,1,(x12),14129946,-3846165.0,3308282556
61,-17,KATSEYE - PINKY UP,3,18,,14126265,-3323783.0,53383177
62,-11,BTS - FYA,6,5,,13897233,-2124829.0,132693617
63,+16,Sam Fender - Rein Me In (w/ Olivia Dean),9,56,,13861034,378242.0,114605229
64,-14,Fuerza Regida - TU SANCHO,45,11,,13844120,-2219484.0,573081830
65,NEW,Michael Jackson - Smooth Criminal - 2012 Remaster,1,65,,13802697,,13802697
66,-9,BTS - they donât know âbout us,6,10,,13768150,-1876166.0,120335605
67,-1,Sabrina Carpenter - Espresso,107,1,(x5),13762087,-734267.0,2926777612
68,+2,Radiohead - Creep,126,27,,13691749,-444846.0,1426372055
69,-15,BTS - NORMAL,6,6,,13607857,-2247286.0,130203801
70,+5,Justin Bieber - One Less Lonely Girl,2,70,,13593370,-135263.0,27322003
71,+6,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",20,30,,13516345,-123970.0,282137083
72,RE,Noah Kahan - Porch Light,3,45,,13475563,,37412019
73,+34,Temper City - Self Aware,4,73,,13420149,1691284.0,44821249
74,NEW,Noah Kahan - Downfall,1,74,,13327353,,13327353
75,+21,Vance Joy - Riptide,403,16,,13254077,1022462.0,2813812435
76,-2,Arctic Monkeys - I Wanna Be Yours,199,15,,13238391,-498867.0,3215531710
77,+1,Billie Eilish - WILDFLOWER,102,9,,13165018,-318216.0,1982728068
78,-5,Bad Bunny - EoO,69,4,,13106432,-667901.0,1070765344
79,-19,BTS - Like Animals,6,8,,13076201,-2039865.0,123425431
80,+4,Benson Boone - Beautiful Things,119,1,(x6),13029404,-96696.0,2894199625
81,-19,Harry Styles - Sign of the Times,50,14,,12974945,-2073902.0,418253410
82,+10,The Weeknd - Starboy (w/ Daft Punk),305,1,(x6),12961973,524636.0,3708106643
83,-11,Omar Courtz - KOKO,7,66,,12946745,-897733.0,82347743
84,-16,sombr - 12 to 12,40,14,,12803241,-1581103.0,611040903
85,-36,Fleetwood Mac - Dreams - 2001 Remaster,3,49,,12773823,-3405586.0,44043906
86,-40,Justin Bieber - That Should Be Me,3,46,,12748977,-4434412.0,40639016
87,-24,BTS - Aliens,6,7,,12719168,-2123548.0,122276278
88,-36,Justin Bieber - YUKON,17,17,,12651688,-3221394.0,216816389
89,-9,SIENNA SPIRO - Die On This Hill,20,9,,12649695,-608071.0,361321800
90,-14,Alex Warren - FEVER DREAM,9,21,,12566625,-1076757.0,127840152
91,-20,Bruno Mars - That's What I Like,188,6,,12453497,-1491522.0,1907547647
92,NEW,Michael Jackson - They Don't Care About Us,1,92,,12436904,,12436904
93,-5,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",134,3,(x1),12422721,-153756.0,2495405341
94,-5,Disco Lines - No Broke Boys (w/ Tinashe),44,13,,12236764,-333404.0,682131704
95,NEW,Noah Kahan - Willing and Able,1,95,,12192227,,12192227
96,-9,Bad Bunny - TitÃ­ Me PreguntÃ³,74,4,,12165257,-815097.0,1501619658
97,-6,Peso Pluma - daÃ±o (w/ Tito Double P),18,32,,12150456,-308940.0,220447052
98,-16,Don Toliver - E85,13,47,,12126159,-1035467.0,173623398
99,-38,Justin Bieber - Ghost,137,11,,11963147,-3118722.0,1479820285
100,-17,Harry Styles - As It Was,206,1,(x11),11950887,-1193208.0,4271070367
101,-54,Justin Bieber - Never Say Never (w/ Jaden),3,47,,11879719,-4949267.0,40956990
102,NEW,Noah Kahan - Haircut,1,102,,11877296,,11877296
103,NEW,CORTIS - REDRED,1,103,,11849738,,11849738
104,-4,Jung Kook - Seven (w/ Latto),146,1,(x9),11821489,-89785.0,2703773945
105,+7,KAROL G - Si Antes Te Hubiera Conocido,90,5,,11787788,413382.0,1657024247
106,NEW,Noah Kahan - Paid Time Off,1,106,,11708005,,11708005
