Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
The Weeknd - Blinding Lights,335,64.0,1,(x13),52375259,5321662134
Ed Sheeran - Shape of You,412,34.0,1,(x14),64217796,4338426724
Harry Styles - As It Was,206,60.0,1,(x11),78460903,4271070367
The Neighbourhood - Sweater Weather,321,,16,,21624450,3955769627
Lewis Capaldi - Someone You Loved,343,15.0,4,,24962682,3933581891
The Weeknd - Starboy,305,21.0,1,(x6),35360281,3708106643
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,335,31.0,1,(x2),34579416,3691832349
Billie Eilish - BIRDS OF A FEATHER,102,71.0,1,(x3),66726270,3632118427
Ed Sheeran - Perfect,445,15.0,4,,24763619,3623472607
Lady Gaga - Die With A Smile,89,61.0,1,(x30),78624101,3588703006
Billie Eilish - lovely,400,,24,,14081242,3514154790
Imagine Dragons - Believer,425,,16,,16864827,3353483545
The Kid LAROI - Stay,178,43.0,1,(x12),70502410,3308282556
Drake - One Dance,313,26.0,1,(x14),47782311,3245348761
Arctic Monkeys - I Wanna Be Yours,199,,15,,21021481,3215531710
Tom Odell - Another Love,262,,15,,20219891,3081997803
Glass Animals - Heat Waves,194,37.0,1,(x10),31668100,3002545699
Coldplay - Yellow,280,,19,,19818571,2996823016
Sabrina Carpenter - Espresso,107,32.0,1,(x5),76427890,2926777612
Benson Boone - Beautiful Things,119,30.0,1,(x6),55391293,2894199625
Vance Joy - Riptide,403,,16,,16836644,2813812435
Jung Kook - Seven,146,22.0,1,(x9),89748171,2703773945
Taylor Swift - Cruel Summer,144,37.0,2,(x3),35517192,2694363550
OneRepublic - Counting Stars,412,24.0,3,(x5),11170130,2617021035
Harry Styles - Watermelon Sugar,225,18.0,4,,28265526,2600844950
James Arthur - Say You Won't Let Go,352,15.0,7,,19297939,2581216939
The Chainsmokers - Something Just Like This,299,12.0,2,(x2),33173199,2565319077
The Weeknd - Die For You,215,,12,,22988828,2554670039
Tones And I - Dance Monkey,151,41.0,1,(x17),52055226,2538070349
The Weeknd - One Of The Girls,134,12.0,3,(x1),33826703,2495405341
Djo - End of Beginning,115,23.0,1,(x5),57615296,2474886920
Lord Huron - The Night We Met,184,,15,,21456993,2463774201
Miley Cyrus - Flowers,115,25.0,1,(x12),115156896,2459389429
SZA - Kill Bill,121,26.0,1,(x2),55234610,2413447813
Teddy Swims - Lose Control,129,9.0,5,,33398917,2386092186
The Police - Every Breath You Take,229,2.0,8,,25306108,2374039622
Jimin - Who,93,27.0,1,(x3),64762611,2369571673
ROSÃ - APT.,80,36.0,1,(x3),87041494,2357638664
The Chainsmokers - Closer,262,28.0,1,(x11),46300740,2335489305
Arctic Monkeys - 505,225,,43,,13120065,2311160336
Hozier - Take Me To Church,326,20.0,1,(x5),13212580,2192969374
Coldplay - Viva La Vida,196,,31,,18240182,2149698713
Eminem - Without Me,243,,31,,14105930,2118905098
Mariah Carey - All I Want for Christmas Is You,92,42.0,1,(x13),92506541,2117164649
Bruno Mars - Locked out of Heaven,232,,18,,19098304,2105547970
Dua Lipa - Don't Start Now,164,33.0,2,(x1),37779776,2095527045
"Tyler, The Creator - See You Again",159,,16,,20536166,2077859164
"Chappell Roan - Good Luck, Babe!",107,19.0,6,,40219805,2076761242
Shawn Mendes - SeÃ±orita,146,23.0,1,(x14),67237638,2072961200
Post Malone - rockstar,172,27.0,1,(x17),46995997,2072812831
Tate McRae - greedy,113,29.0,1,(x4),40228313,2026068213
Billie Eilish - WILDFLOWER,102,2.0,9,,34383970,1982728068
The Goo Goo Dolls - Iris,139,,12,,21584424,1976241361
Elton John - Cold Heart - PNAU Remix,145,28.0,4,,28043005,1974787398
Cigarettes After Sex - Apocalypse,196,,53,,13385982,1940911985
Manuel Turizo - La Bachata,122,25.0,4,,30443567,1937228986
Travis Scott - goosebumps,280,,13,,22652793,1930715182
Kendrick Lamar - All The Stars,150,10.0,2,(x2),44478255,1912557101
Juice WRLD - Lucid Dreams,204,15.0,3,(x1),27389019,1911008149
Bruno Mars - That's What I Like,188,9.0,6,,23602385,1907547647
Post Malone - Circles,171,18.0,1,(x1),43379405,1905867050
Ariana Grande - we can't be friends (wait for your love),111,7.0,1,(x2),60418741,1902784787
Billie Eilish - bad guy,135,24.0,1,(x6),50342324,1896726225
Ed Sheeran - Photograph,332,,15,,11386170,1885939922
David Guetta - I'm Good (Blue),117,21.0,2,(x4),34345014,1880998531
FloyyMenor - Gata Only,91,22.0,3,(x1),54990825,1828917017
Alex Warren - Ordinary,64,37.0,1,(x7),40299624,1821442339
Gigi Perez - Sailor Song,89,13.0,7,,32953798,1818472015
Wham! - Last Christmas,87,34.0,1,(x1),91090914,1815281512
Bad Bunny - DtMF,69,25.0,1,(x7),88786254,1799294458
Hozier - Too Sweet,92,13.0,2,(x2),56325657,1795753743
The Weeknd - Save Your Tears,171,13.0,2,(x4),30115082,1775255281
Bruno Mars - When I Was Your Man,219,,38,,15866628,1758171178
Bruno Mars - Just the Way You Are,179,,34,,17397565,1748070078
sombr - back to friends,58,47.0,1,(x1),42212664,1740978666
Lady Gaga - Shallow,182,12.0,3,(x2),31597226,1738805577
The Walters - I Love You So,177,,21,,14526745,1733687424
Kendrick Lamar - Not Like Us,78,17.0,2,(x3),73078518,1703697124
Keane - Somewhere Only We Know,179,,71,,11772825,1687968805
Gracie Abrams - Thatâs So True,80,26.0,3,(x1),47295577,1680689299
OneRepublic - I Ain't Worried,114,8.0,7,,25270059,1663352530
The Killers - Mr. Brightside,238,,44,,14737167,1660265474
